Nama Penerbit;Judul Berita;Tanggal Publikasi;Link Berita
detikJatim;Pasokan Sapi Lokal Berkurang, Berapa Harga Daging di Surabaya?;54 menit yang lalu;https://www.detik.com/jatim/bisnis/d-7563343/pasokan-sapi-lokal-berkurang-berapa-harga-daging-di-surabaya
detikJatim;5 Fakta Pengajian Maulid Nabi KH Marzuki Mustamar Ditolak di Surabaya;2 jam yang lalu;https://www.detik.com/jatim/berita/d-7563181/5-fakta-pengajian-maulid-nabi-kh-marzuki-mustamar-ditolak-di-surabaya
detikJatim;Heboh Penolakan Pengajian Maulid Nabi KH Marzuki Mustamar di Surabaya;5 jam yang lalu;https://www.detik.com/jatim/berita/d-7562902/heboh-penolakan-pengajian-maulid-nabi-kh-marzuki-mustamar-di-surabaya
20Detik;Kirab Sawunggaling Surabaya, 1.500 Anak Kompak Menari Remo;Senin, 23 Sep 2024 22:59 WIB;https://20.detik.com/detikupdate/20240923-240923143/kirab-sawunggaling-surabaya-1-500-anak-kompak-menari-remo
detikSumut;Pengajian KH Marzuki Mustamar Ditolak FPI, Ini Kata Polisi;30 menit yang lalu;https://www.detik.com/sumut/berita/d-7563298/pengajian-kh-marzuki-mustamar-ditolak-fpi-ini-kata-polisi
detikJatim;Cuaca Surabaya Akhir Pekan 29 September 2024: Cerah Sepanjang Hari;14 jam yang lalu;https://www.detik.com/jatim/berita/d-7562374/cuaca-surabaya-akhir-pekan-29-september-2024-cerah-sepanjang-hari
detikJatim;Enak dan Unik Pizza Tarik yang Viral di Surabaya;Sabtu, 28 Sep 2024 06:30 WIB;https://www.detik.com/jatim/kuliner/d-7561690/enak-dan-unik-pizza-tarik-yang-viral-di-surabaya
Foto Bisnis;Empat Lokomotif Berparade di HUT ke-79 KAI;17 jam yang lalu;https://finance.detik.com/foto-bisnis/d-7562433/empat-lokomotif-berparade-di-hut-ke-79-kai
detikJatim;Waspada Gelombang Tinggi di Perairan Jatim hingga 30 September 2024;3 jam yang lalu;https://www.detik.com/jatim/berita/d-7563119/waspada-gelombang-tinggi-di-perairan-jatim-hingga-30-september-2024
detikJatim;Ketua Bawaslu Surabaya Ngaku Tetap Profesional Meski Dipolisikan;Jumat, 27 Sep 2024 22:45 WIB;https://www.detik.com/jatim/hukum-dan-kriminal/d-7561707/ketua-bawaslu-surabaya-ngaku-tetap-profesional-meski-dipolisikan
detikJatim;Kerangka Ditemukan di Surabaya Diduga Milik Lebih dari 2 Orang;Jumat, 27 Sep 2024 22:01 WIB;https://www.detik.com/jatim/berita/d-7561671/kerangka-ditemukan-di-surabaya-diduga-milik-lebih-dari-2-orang
detikJatim;Ketua Bawaslu Surabaya Buka Suara Soal Dugaan Aniaya Pacar;Jumat, 27 Sep 2024 21:44 WIB;https://www.detik.com/jatim/hukum-dan-kriminal/d-7561684/ketua-bawaslu-surabaya-buka-suara-soal-dugaan-aniaya-pacar
